userid,exid,level,totalScore,score,date,no_of_attempts
Isha.Intermediate@gmail.com,CBO5,1,10,10,30-09-2022,2
Isha.Intermediate@gmail.com,CBO6,1,10,10,01-10-2022,2
Isha.Intermediate@gmail.com,CBO7,1,10,10,02-10-2022,2
Isha.Intermediate@gmail.com,CBO8,1,10,10,03-10-2022,2
Isha.Intermediate@gmail.com,CBO9,1,10,9,04-10-2022,1
Isha.Intermediate@gmail.com,CBO10,1,10,10,05-10-2022,2
Isha.Intermediate@gmail.com,CBO18,2,20,18,06-10-2022,2
Isha.Intermediate@gmail.com,CDCIE12,2,20,16,07-10-2022,1
Isha.Intermediate@gmail.com,CBO14,2,20,18,08-10-2022,2
Isha.Intermediate@gmail.com,CDCIE20,2,20,18,09-10-2022,2
Isha.Intermediate@gmail.com,CBO17,2,20,18,10-10-2022,2
Isha.Intermediate@gmail.com,CBO16,2,20,16,11-10-2022,1
Isha.Intermediate@gmail.com,CBTV3,2,20,20,12-10-2022,3
Isha.Intermediate@gmail.com,CDCI12,2,20,18,13-10-2022,2
Isha.Intermediate@gmail.com,CDCI10,2,20,20,14-10-2022,3
Isha.Intermediate@gmail.com,CBTV9,2,20,20,15-10-2022,3
Isha.Intermediate@gmail.com,CBP7,2,20,20,16-10-2022,3
Isha.Intermediate@gmail.com,CBTV14,2,20,16,17-10-2022,1
Isha.Intermediate@gmail.com,CBP4,2,20,20,18-10-2022,3
Isha.Intermediate@gmail.com,CDCIE11,2,20,20,19-10-2022,3
Isha.Intermediate@gmail.com,CDCIE8,2,20,18,20-10-2022,2
Isha.Intermediate@gmail.com,CBO22,2,20,18,21-10-2022,2
Isha.Intermediate@gmail.com,CDCI16,2,20,16,22-10-2022,1
Isha.Intermediate@gmail.com,CBTV5,2,20,20,23-10-2022,3
Isha.Intermediate@gmail.com,CDCC6,2,20,20,24-10-2022,3
Isha.Intermediate@gmail.com,CDCI13,2,20,20,25-10-2022,3
Isha.Intermediate@gmail.com,CFSV7,3,30,24,26-10-2022,2
Isha.Intermediate@gmail.com,CFSV6,3,30,21,27-10-2022,1
Isha.Intermediate@gmail.com,CAAI4,3,30,27,28-10-2022,3
Isha.Intermediate@gmail.com,CAAI2,3,30,30,29-10-2022,4
Isha.Intermediate@gmail.com,CBTC2,3,30,27,30-10-2022,3
Isha.Intermediate@gmail.com,CLCF2,3,30,30,31-10-2022,4
Isha.Intermediate@gmail.com,CBTC7,3,30,27,01-11-2022,3
Isha.Intermediate@gmail.com,CBP12,3,30,30,02-11-2022,4
Isha.Intermediate@gmail.com,CBO29,3,30,21,03-11-2022,1
Isha.Intermediate@gmail.com,CDCC14,3,30,27,04-11-2022,3
Isha.Intermediate@gmail.com,CDCS6,4,40,32,05-11-2022,3
Isha.Intermediate@gmail.com,CFN1,4,40,32,06-11-2022,3
Isha.Intermediate@gmail.com,CBTC8,4,40,40,07-11-2022,4
Isha.Intermediate@gmail.com,CDCS5,4,40,40,08-11-2022,4
Isha.Intermediate@gmail.com,CDCS13,4,40,40,09-11-2022,4
Isha.Intermediate@gmail.com,CDCS8,4,40,24,10-11-2022,2
Isha.Intermediate@gmail.com,CDCS4,4,40,40,11-11-2022,4
Isha.Intermediate@gmail.com,CLCF4,4,40,32,12-11-2022,3
Isha.Intermediate@gmail.com,CLCF6,4,40,40,13-11-2022,4
Isha.Intermediate@gmail.com,CLCF5,4,40,32,14-11-2022,3
Bob.Beginner@gmail.com,CBO1,1,10,9,26-09-2022,2
Bob.Beginner@gmail.com,CBO2,1,10,9,27-09-2022,2
Bob.Beginner@gmail.com,CBO3,1,10,10,28-09-2022,3
Bob.Beginner@gmail.com,CBO4,1,10,9,29-09-2022,2
Bob.Beginner@gmail.com,CBO5,1,10,9,30-09-2022,2
Bob.Beginner@gmail.com,CBO6,1,10,8,01-10-2022,1
Bob.Beginner@gmail.com,CBO7,1,10,10,02-10-2022,3
Bob.Beginner@gmail.com,CBO8,1,10,8,03-10-2022,1
Bob.Beginner@gmail.com,CBO9,1,10,8,04-10-2022,1
Bob.Beginner@gmail.com,CBO10,1,10,9,05-10-2022,2
Bob.Beginner@gmail.com,CBO24,2,20,20,06-10-2022,4
Bob.Beginner@gmail.com,CBO26,2,20,18,07-10-2022,3
Bob.Beginner@gmail.com,CDCC5,2,20,18,08-10-2022,3
Bob.Beginner@gmail.com,CDCIE12,2,20,16,09-10-2022,2
Bob.Beginner@gmail.com,CDCIE8,2,20,16,10-10-2022,2
Bob.Beginner@gmail.com,CDCIE16,2,20,16,11-10-2022,2
Bob.Beginner@gmail.com,CDCI6,2,20,16,12-10-2022,2
Bob.Beginner@gmail.com,CBO12,2,20,14,13-10-2022,1
Bob.Beginner@gmail.com,CBO15,2,20,20,14-10-2022,4
Bob.Beginner@gmail.com,CBTV12,2,20,18,15-10-2022,3
Bob.Beginner@gmail.com,CBP6,2,20,14,16-10-2022,1
Bob.Beginner@gmail.com,CDCI17,2,20,18,17-10-2022,3
Bob.Beginner@gmail.com,CBP8,2,20,20,18-10-2022,4
Bob.Beginner@gmail.com,CBP2,2,20,20,19-10-2022,4
Bob.Beginner@gmail.com,CDCC2,2,20,20,20-10-2022,4
Bob.Beginner@gmail.com,CFSV7,3,30,24,21-10-2022,3
Bob.Beginner@gmail.com,CDCI5,3,30,30,22-10-2022,5
Bob.Beginner@gmail.com,CLCF1,3,30,21,23-10-2022,2
Bob.Beginner@gmail.com,CBTV7,3,30,27,24-10-2022,4
Bob.Beginner@gmail.com,CDCC12,3,30,21,25-10-2022,2
Bob.Beginner@gmail.com,CDCC11,3,30,21,26-10-2022,2
Bob.Beginner@gmail.com,CFSV6,3,30,27,27-10-2022,4
Bob.Beginner@gmail.com,CFSV5,3,30,21,28-10-2022,2
Bob.Beginner@gmail.com,CBP13,3,30,30,29-10-2022,5
Bob.Beginner@gmail.com,CAAI4,3,30,30,30-10-2022,5
Bob.Beginner@gmail.com,CFSV3,3,30,21,31-10-2022,2
Bob.Beginner@gmail.com,CSS1,3,30,27,01-11-2022,4
Bob.Beginner@gmail.com,CBTC4,3,30,24,02-11-2022,3
Bob.Beginner@gmail.com,CBP10,3,30,27,03-11-2022,4
Bob.Beginner@gmail.com,CBTC5,3,30,21,04-11-2022,2
